users_name;voice_actor;role;part;first_appearance
Dio Brando;Takehito Koyasu;Main Antagonist;1;1
Joseph Joestar (young);Tomokazu Sugita;Main Protagonist;2;10
Caravan Serai;None;Minor Antagonist;3;55
Telence T. D'Arby;Junichi Suwabe;Minor Antagonist;3;65
Mariah;Ayahi Takagaki;Minor Antagonist;3;55
Vanilla Ice;Sho Hayami;Antagonist ;3;68
Mannish Boy;Ikue Ohtani;Minor Antagonist;3;45
N’Doul;Kentaro Ito;Minor Antagonist;3;51
Midler;Aya Hisakawa;Minor Antagonist;3;50
Pet Shop;None;Minor Antagonist;3;31
Cameo;Kinryu Arimoto;Minor Antagonist;3;48
Oingo;Makoto Yasumura;Minor Antagonist;3;52
Daniel J. D'Arby;Banjo Ginga;Minor Antagonist;3;60
Alessi;Masaya Onosaka;Minor Antagonist;3;57
Kenny G.;Junichi Yanagita;Minor Antagonist;3;68
Boingo;Motoko Kumai;Minor Antagonist;3;52
Impostor Captain Tennille;Tessho Genda;Minor Antagonist;3;32
Hol Horse;Hidenobu Kiuchi;Antagonist ;3;36
Devo;Shouto Kashii;Minor Antagonist;3;34
Nena;Satsuki Yukino;Minor Antagonist;3;38
J. Geil;Takuya Kirimoto;Antagonist ;3;36
Joseph Joestar (old);Unsho Ishizuka;Main Ally;3;27
Noriaki Kakyoin;Daisuke Hirakawa;Main Ally;3;28
Enya the Hag;Reiko Suzuki;Antagonist ;3;28
Steely Dan;Daisuke Kishio;Minor Antagonist;3;42
Muhammad Avdol;Kenta Miyake;Main Ally;3;27
Jean Pierre Polnareff;Fuminori Komatsu;Main Ally;3;30
Kujo Jotaro;Daisuke Ono;Main Protagonist;3;27
Forever;Kappei Yamaguchi;Minor Antagonist;3;33
Arabia Fats;Sakamaki Manabu;Minor Antagonist;3;44
Iggy;Misato Fukuen;Main Ally;3;51
Dio Brando;Takehito Koyasu;Main Antagonist;3;73
Gray Fly;Katsumi Cho;Antagonist ;3;30
ZZ;Masami Iwasaki;Minor Antagonist;3;39
Rubber Soul;Shinji Kawada;Minor Antagonist;3;33
